,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,23,FP1,0,-6.175,a,S2 match,0,co2a0000365,0.0
6,23,FP1,1,-6.663,a,S2 match,0,co2a0000365,0.00390625
7,23,FP1,2,-9.104,a,S2 match,0,co2a0000365,0.0078125
8,23,FP1,3,-11.546,a,S2 match,0,co2a0000365,0.01171875
9,23,FP1,4,-13.011,a,S2 match,0,co2a0000365,0.015625
10,23,FP1,5,-11.058,a,S2 match,0,co2a0000365,0.01953125
11,23,FP1,6,-6.663,a,S2 match,0,co2a0000365,0.0234375
12,23,FP1,7,-1.292,a,S2 match,0,co2a0000365,0.02734375
13,23,FP1,8,3.103,a,S2 match,0,co2a0000365,0.03125
14,23,FP1,9,5.544,a,S2 match,0,co2a0000365,0.03515625
15,23,FP1,10,6.032,a,S2 match,0,co2a0000365,0.0390625
16,23,FP1,11,4.567,a,S2 match,0,co2a0000365,0.04296875
17,23,FP1,12,2.614,a,S2 match,0,co2a0000365,0.046875
18,23,FP1,13,-0.804,a,S2 match,0,co2a0000365,0.05078125
19,23,FP1,14,-3.245,a,S2 match,0,co2a0000365,0.0546875
20,23,FP1,15,-4.71,a,S2 match,0,co2a0000365,0.05859375
21,23,FP1,16,-5.198,a,S2 match,0,co2a0000365,0.0625
22,23,FP1,17,-5.686,a,S2 match,0,co2a0000365,0.06640625
23,23,FP1,18,-6.663,a,S2 match,0,co2a0000365,0.0703125
24,23,FP1,19,-9.104,a,S2 match,0,co2a0000365,0.07421875
25,23,FP1,20,-13.011,a,S2 match,0,co2a0000365,0.078125
26,23,FP1,21,-17.405,a,S2 match,0,co2a0000365,0.08203125
27,23,FP1,22,-20.823,a,S2 match,0,co2a0000365,0.0859375
28,23,FP1,23,-21.8,a,S2 match,0,co2a0000365,0.08984375
29,23,FP1,24,-21.311,a,S2 match,0,co2a0000365,0.09375
30,23,FP1,25,-18.382,a,S2 match,0,co2a0000365,0.09765625
31,23,FP1,26,-14.476,a,S2 match,0,co2a0000365,0.1015625
32,23,FP1,27,-12.034,a,S2 match,0,co2a0000365,0.10546875
33,23,FP1,28,-10.081,a,S2 match,0,co2a0000365,0.109375
34,23,FP1,29,-8.128,a,S2 match,0,co2a0000365,0.11328125
35,23,FP1,30,-5.198,a,S2 match,0,co2a0000365,0.1171875
36,23,FP1,31,-1.292,a,S2 match,0,co2a0000365,0.12109375
37,23,FP1,32,2.126,a,S2 match,0,co2a0000365,0.125
38,23,FP1,33,3.591,a,S2 match,0,co2a0000365,0.12890625
39,23,FP1,34,2.126,a,S2 match,0,co2a0000365,0.1328125
40,23,FP1,35,-2.268,a,S2 match,0,co2a0000365,0.13671875
41,23,FP1,36,-7.151,a,S2 match,0,co2a0000365,0.140625
42,23,FP1,37,-10.569,a,S2 match,0,co2a0000365,0.14453125
43,23,FP1,38,-12.522,a,S2 match,0,co2a0000365,0.1484375
44,23,FP1,39,-13.499,a,S2 match,0,co2a0000365,0.15234375
45,23,FP1,40,-14.964,a,S2 match,0,co2a0000365,0.15625
46,23,FP1,41,-16.917,a,S2 match,0,co2a0000365,0.16015625
47,23,FP1,42,-18.382,a,S2 match,0,co2a0000365,0.1640625
48,23,FP1,43,-18.382,a,S2 match,0,co2a0000365,0.16796875
49,23,FP1,44,-16.917,a,S2 match,0,co2a0000365,0.171875
50,23,FP1,45,-14.476,a,S2 match,0,co2a0000365,0.17578125
51,23,FP1,46,-12.522,a,S2 match,0,co2a0000365,0.1796875
52,23,FP1,47,-11.058,a,S2 match,0,co2a0000365,0.18359375
53,23,FP1,48,-8.616,a,S2 match,0,co2a0000365,0.1875
54,23,FP1,49,-5.686,a,S2 match,0,co2a0000365,0.19140625
55,23,FP1,50,-3.245,a,S2 match,0,co2a0000365,0.1953125
56,23,FP1,51,-1.78,a,S2 match,0,co2a0000365,0.19921875
57,23,FP1,52,-2.757,a,S2 match,0,co2a0000365,0.203125
58,23,FP1,53,-5.198,a,S2 match,0,co2a0000365,0.20703125
59,23,FP1,54,-7.151,a,S2 match,0,co2a0000365,0.2109375
60,23,FP1,55,-8.616,a,S2 match,0,co2a0000365,0.21484375
61,23,FP1,56,-10.569,a,S2 match,0,co2a0000365,0.21875
62,23,FP1,57,-13.499,a,S2 match,0,co2a0000365,0.22265625
63,23,FP1,58,-16.917,a,S2 match,0,co2a0000365,0.2265625
64,23,FP1,59,-19.358,a,S2 match,0,co2a0000365,0.23046875
65,23,FP1,60,-20.335,a,S2 match,0,co2a0000365,0.234375
66,23,FP1,61,-18.87,a,S2 match,0,co2a0000365,0.23828125
67,23,FP1,62,-18.382,a,S2 match,0,co2a0000365,0.2421875
68,23,FP1,63,-18.87,a,S2 match,0,co2a0000365,0.24609375
69,23,FP1,64,-21.8,a,S2 match,0,co2a0000365,0.25
70,23,FP1,65,-24.729,a,S2 match,0,co2a0000365,0.25390625
71,23,FP1,66,-25.218,a,S2 match,0,co2a0000365,0.2578125
72,23,FP1,67,-21.8,a,S2 match,0,co2a0000365,0.26171875
73,23,FP1,68,-18.382,a,S2 match,0,co2a0000365,0.265625
74,23,FP1,69,-16.917,a,S2 match,0,co2a0000365,0.26953125
75,23,FP1,70,-18.382,a,S2 match,0,co2a0000365,0.2734375
76,23,FP1,71,-20.335,a,S2 match,0,co2a0000365,0.27734375
77,23,FP1,72,-20.823,a,S2 match,0,co2a0000365,0.28125
78,23,FP1,73,-17.893,a,S2 match,0,co2a0000365,0.28515625
79,23,FP1,74,-14.476,a,S2 match,0,co2a0000365,0.2890625
80,23,FP1,75,-13.011,a,S2 match,0,co2a0000365,0.29296875
81,23,FP1,76,-13.987,a,S2 match,0,co2a0000365,0.296875
82,23,FP1,77,-16.917,a,S2 match,0,co2a0000365,0.30078125
83,23,FP1,78,-17.893,a,S2 match,0,co2a0000365,0.3046875
84,23,FP1,79,-15.452,a,S2 match,0,co2a0000365,0.30859375
85,23,FP1,80,-11.058,a,S2 match,0,co2a0000365,0.3125
86,23,FP1,81,-7.64,a,S2 match,0,co2a0000365,0.31640625
87,23,FP1,82,-7.64,a,S2 match,0,co2a0000365,0.3203125
88,23,FP1,83,-11.058,a,S2 match,0,co2a0000365,0.32421875
89,23,FP1,84,-14.476,a,S2 match,0,co2a0000365,0.328125
90,23,FP1,85,-16.917,a,S2 match,0,co2a0000365,0.33203125
91,23,FP1,86,-16.917,a,S2 match,0,co2a0000365,0.3359375
